Location,Population,HighestInfectionCount,PercentPopulationInfected
Cyprus,896007,625562,69.81664206
San Marino,33690,22615,67.12674384
Faeroe Islands,53117,34658,65.24841388
Austria,8939617,5639992,63.08986168
Gibraltar,32677,20252,61.97631362
Slovenia,2119843,1285920,60.66109613
Andorra,79843,47606,59.62451311
Brunei,449002,264490,58.90619641
Denmark,5882259,3371791,57.32136242
France,67813000,38841776,57.2777727
Saint Pierre and Miquelon,5885,3306,56.17672048
Iceland,372903,207101,55.53749903
South Korea,51815808,28129431,54.28735377
Portugal,10270857,5551364,54.04966694
Liechtenstein,39355,21170,53.79240249
Greece,10384972,5500737,52.96824103
Latvia,1850654,970286,52.42935741
Falkland Islands,3801,1930,50.77611155
Israel,9449000,4746698,50.23492433
Switzerland,8740471,4373011,50.03175458
Netherlands,17564020,8566962,48.77563337
Georgia,3744385,1808085,48.28790309
Luxembourg,647601,310066,47.87917252
Bahrain,1472237,697713,47.39135071
Slovakia,5643455,2654148,47.03055132
Seychelles,107135,50355,47.00144677
Lithuania,2750058,1282732,46.64381624
Estonia,1326064,610473,46.03646581
Cayman Islands,68722,31359,45.63167545
Montenegro,627082,284298,45.33665454
Isle of Man,84534,38008,44.96179052
Germany,83369840,36980882,44.35762621
Czechia,10493990,4571924,43.56707029
Monaco,36491,15833,43.3887808
Bonaire Sint Eustatius and Saba,27052,11661,43.10587018
Italy,59037472,24884034,42.14955884
Australia,26177410,10969578,41.90474917
Aruba,106459,44145,41.46666792
Saint Helena,5401,2166,40.1036845
European Union,450146793,180226496,40.03727202
Belgium,11655923,4658298,39.96507184
New Zealand,5185289,2019901,38.95445365
Singapore,5637022,2187459,38.80522375
Cook Islands,17032,6389,37.5117426
Marshall Islands,41593,15547,37.37888587
Barbados,281646,104944,37.26095879
Nauru,12691,4621,36.41163029
United Kingdom,67508936,24089042,35.68274576
Taiwan,23893396,8498195,35.56712909
Serbia,6871547,2440825,35.52074955
Maldives,523798,185651,35.44324339
Ireland,5023108,1684717,33.53933461
High income,1250514600,411448065,32.90229998
Palau,18084,5933,32.80800708
Europe,744807803,243279169,32.66334859
Montserrat,4413,1403,31.79243145
Croatia,4030361,1258740,31.23144552
Hong Kong,7488863,2323123,31.02103751
Oceania,45038860,13393792,29.73830155
Mongolia,3398373,1007025,29.63256241
United States,338289856,99881898,29.52553741
Wallis and Futuna,11596,3415,29.44981028
Uruguay,3422796,998047,29.1588222
Bermuda,64207,18557,28.90183313
Spain,47558632,13651239,28.70401949
Norway,5434324,1472090,27.08874186
New Caledonia,289959,78380,27.03140789
Finland,5540745,1428446,25.78075692
French Polynesia,306292,77772,25.39145652
Chile,19603736,4975862,25.38221286
Sweden,10549349,2651702,25.13616717
Tuvalu,11335,2828,24.94927217
Anguilla,15877,3904,24.58902815
Curacao,191173,45986,24.05465207
British Virgin Islands,31332,7305,23.31482191
Panama,4408582,1015970,23.0452785
Lebanon,5489744,1221572,22.25189371
Costa Rica,5180836,1152466,22.24478829
Mauritius,1299478,287999,22.16266839
Hungary,9967304,2176249,21.83387805
Malta,533293,116082,21.76702113
Dominica,72758,15760,21.66084829
Japan,123951696,26843995,21.65681944
Argentina,45510324,9766975,21.46100959
Greenland,56494,11971,21.18986087
Turkey,85341248,16919638,19.82586193
North America,600323657,118189599,19.68764643
Micronesia (country),114178,22203,19.44595281
Bulgaria,6781955,1289869,19.01913239
Moldova,3272993,595745,18.20184156
Qatar,2695131,486052,18.03444805
Belize,405285,69376,17.11783066
Romania,19659270,3301662,16.79442828
Brazil,215313504,35869526,16.6592087
Saint Lucia,179872,29736,16.53175592
North Macedonia,2093606,345197,16.48815489
Armenia,2780472,445881,16.03616221
Poland,39857144,6360843,15.95910384
Grenada,125459,19644,15.65770491
Kuwait,4268886,662747,15.52505736
Jordan,11285875,1746997,15.47949982
Kosovo,1782115,272228,15.27555741
Tonga,106867,16182,15.14218608
South America,436816679,65976211,15.10386718
Russia,144713312,21394122,14.78379681
Malaysia,33938216,5016023,14.77986645
Ukraine,39701744,5657579,14.25020271
Turks and Caicos Islands,45726,6463,14.13419061
Saint Kitts and Nevis,47681,6560,13.75810071
Palestine,5250076,703228,13.39462514
Suriname,618046,81581,13.19982655
Peru,34049588,4405843,12.9394899
Botswana,2630300,328760,12.49895449
Bosnia and Herzegovina,3233530,400769,12.39416365
Colombia,51874028,6322281,12.187758
Trinidad and Tobago,1531043,185708,12.1295091
Vietnam,98186856,11529639,11.74254831
Albania,2842318,333635,11.73813064
Canada,38454328,4475933,11.6396079
Paraguay,6780745,781111,11.51954542
